Oi	Olá, em que podemos ajudar?	
Qual o telefone da unidade do Capão Redondo?	Telefone: (11) 5872-6851;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual o telefone do Capão Redondo?	Telefone: (11) 5872-6851;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual telefone do Capão Redondo?	Telefone: (11) 5872-6851;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Qual telefone Capão Redondo?	Telefone: (11) 5872-6851;Unidade 5 - Capão Redondo;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/sndxsk.jpg;	
Quem eu procuro no Capão Redondo?	Procure pela Beni.	
Qual o endereço da unidade 6?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde fica a unidade 6?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde é a unidade 6?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o endereço da unidade do Embu das Artes?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o endereço do Embu das Artes?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde fica a do Embu das Artes?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde é a do Embu das Artes?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde no Embu das Artes?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o telefone da unidade 6?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o telefone da unidade do Embu das Artes?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o telefone do Embu das Artes?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual telefone do Embu das Artes?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual telefone Embu das Artes?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quem eu procuro no Embu das Artes?	Procure pela Beni.	
Qual o endereço da unidade do Embu?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o endereço do Embu?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde fica a do Embu?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde é a do Embu?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Onde no Embu?	Rua Macuco Nº 11;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o telefone da unidade do Embu?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual o telefone do Embu?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual telefone do Embu?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Qual telefone Embu?	Telefone: (11) 4149-9720;Unidade 6 - Embu das Artes;http://ctieducar.com.br/cti_novo/;http://i63.tinypic.com/ztav7r.jpg;	
Quem eu procuro no Embu?	Procure pela Beni.	
Quais são os cursos?	Temos cursos de inglês (básico, intermediário e avançado), informática básica (pacote office, internet e html) e avançada (programação, desenvolvimento de sites e aplicativos e redes), banho e tosa e auxiliar veterinário.	
Quais são os cursos da CTI?	Temos cursos de inglês (básico, intermediário e avançado), informática básica (pacote office, internet e html) e avançada (programação, desenvolvimento de sites e aplicativos e redes), banho e tosa e auxiliar veterinário.	
Quais os cursos da unidade do Campo Limpo?	Podemos lhe informar melhor por telefone. O telefone da unidade do Campo Limpo é (11) 5844-5844. Pode procurar pela Vanessa.	
Quais os cursos do Campo Limpo?	Podemos lhe informar melhor por telefone. O telefone da unidade do Campo Limpo é (11) 5844-5844. Pode procurar pela Vanessa.	
Quais os cursos da unidade do Capão Redondo?	Podemos lhe informar melhor por telefone. O telefone da unidade do Campo Limpo é (11) 5844-5844. Pode procurar pela Vanessa.	
Quais os cursos do Capão Redondo?	Podemos lhe informar melhor por telefone. O telefone da unidade do Campo Limpo é (11) 5844-5844. Pode procurar pela Vanessa.	
Qual o valor do curso?	Entre em contato pelo nosso WhatsApp: (11) 99335-6454. Estamos à disposição.	
Qual o valor do curso de inglês?	Entre em contato pelo nosso WhatsApp: (11) 99335-6454. Estamos à disposição.	
Qual o valor do curso de informática?	Entre em contato pelo nosso WhatsApp: (11) 99335-6454. Estamos à disposição.	
Qual o valor do curso de auxiliar de veterinário?	Entre em contato pelo nosso WhatsApp: (11) 99335-6454. Estamos à disposição.	
Quais os dias dos cursos?	Temos cursos de segunda à sábado. Para maiores detalhes entre em contato pelo nosso WhatsApp: (11) 99335-6454. Estamos à disposição.	
Quais os níveis para o curso de inglês?	Temos desde o inglês para crianças até o avançado.	
Quais os níveis do inglês?	Temos desde o inglês para crianças até o avançado.	
